technique,paradigm,trial_type,mi,session,dmd
ecephys,DURATION,jitter,0.0005139568820595741,1d115777,
ecephys,DURATION,omission,0.02285684645175934,1d115777,
ecephys,SENSORYMOTOR,motor_halt,-0.0010680247796699405,292d9622,
ecephys,SENSORYMOTOR,motor_omission,0.04193234443664551,292d9622,
ecephys,SENSORYMOTOR,motor_orientation_45,0.07376102358102798,292d9622,
ecephys,SENSORYMOTOR,motor_orientation_90,0.11396368592977524,292d9622,
ecephys,SENSORYMOTOR,motor_halt,-0.002134567592293024,425e5654,
ecephys,SENSORYMOTOR,motor_omission,0.017864201217889786,425e5654,
ecephys,SENSORYMOTOR,motor_orientation_45,0.10469472408294678,425e5654,
ecephys,SENSORYMOTOR,motor_orientation_90,0.1049821600317955,425e5654,
ecephys,STANDARD,halt,0.009759094566106796,a61018ce,
ecephys,STANDARD,omission,-0.024398254230618477,a61018ce,
ecephys,STANDARD,orientation_45,0.009720295667648315,a61018ce,
ecephys,STANDARD,orientation_90,0.030386488884687424,a61018ce,
ecephys,SEQUENCE,halt,0.007686079014092684,cd175e65,
ecephys,SEQUENCE,omission,-0.02519114501774311,cd175e65,
ecephys,SEQUENCE,orientation_45,0.006590226199477911,cd175e65,
ecephys,SEQUENCE,orientation_90,0.0002602115273475647,cd175e65,
ecephys,SEQUENCE,sequence_omission,-0.0219416506588459,cd175e65,
ecephys,SEQUENCE,halt,0.03355121240019798,d6863657,
ecephys,SEQUENCE,omission,-0.018021566793322563,d6863657,
ecephys,SEQUENCE,orientation_45,0.015062958002090454,d6863657,
ecephys,SEQUENCE,orientation_90,0.015559572726488113,d6863657,
ecephys,SEQUENCE,sequence_omission,-0.006446557585150003,d6863657,
mesoscope,DURATION,jitter,0.015636686235666275,00451971,
mesoscope,DURATION,omission,0.018010281026363373,00451971,
mesoscope,STANDARD,halt,0.08752426505088806,0098c2a1,
mesoscope,STANDARD,omission,0.15496040880680084,0098c2a1,
mesoscope,STANDARD,orientation_45,0.04654904454946518,0098c2a1,
mesoscope,STANDARD,orientation_90,0.02422696352005005,0098c2a1,
mesoscope,STANDARD,halt,0.04866783693432808,14cb4a55,
mesoscope,STANDARD,omission,-0.020426437258720398,14cb4a55,
mesoscope,STANDARD,orientation_45,0.09805157780647278,14cb4a55,
mesoscope,STANDARD,orientation_90,0.09518587589263916,14cb4a55,
mesoscope,STANDARD,halt,0.14777889847755432,2876206a,
mesoscope,STANDARD,omission,0.3113384544849396,2876206a,
mesoscope,STANDARD,orientation_45,0.014079999178647995,2876206a,
mesoscope,STANDARD,orientation_90,0.012996818870306015,2876206a,
mesoscope,DURATION,jitter,0.013120338320732117,297f4f66,
mesoscope,DURATION,omission,0.207675039768219,297f4f66,
mesoscope,STANDARD,halt,0.08466315269470215,2f350607,
